id,name,associated_reactions
G_STM4087,glpF,[]
G_STM3316,yrbI,[]
G_STM3979,ubiB,[]
G_STM1772,kdsA,[]
G_STM2947,cysI,[]
G_STM3709,kbl,[]
G_STM4386,sgaH,[]
G_STM2283,glpT,[]
G_STM2948,cysJ,[]
G_STM3675,sgbH,[]
G_STM3068,fba,[]
G_STM3529,STM3529,[]
G_STM0704,kdpC,[]
G_STM0525,glxK,[]
G_STM2141,fbaB,[]
G_STM0706,kdpA,[]
G_STM4085,glpX,[]
G_STM4415,fbp,[]
G_STM3247,garK,[]
G_STM0705,kdpB,[]
G_STM2959,STM2959,[]
G_STM3986,trkH,[]
G_STM2492,STM2492,[]
G_STM1695,sapD,[]
G_STM2976,fucI,[]
G_STM2977,fucK,[]
G_STM3880,kup,[]
G_STM2974,fucA,[]
G_STM3053,gcvP,[]
G_STM3054,gcvH,[]
G_STM3055,gcvT,[]
G_STM3409,trkA,[]
G_STM2916,ygbL,[]
G_STM0489,hemH,[]
G_STM0866,mdfA,[]
G_STM1135,ycdW,[]
G_STM0086,kefC,[]
G_STM1570,fdnG,[]
G_STM3457,kefB,[]
G_STM1620,STM1620,[]
G_STM4086,glpK,[]
G_STM2301,pqaB,[]
G_STM4036,fdoH,[]
G_STM1680,ycjI,[]
G_STM4035,fdoI,[]
G_STM0261,gloB,[]
G_STM2973,fucO,[]
G_STM3655,glyS,[]
G_STM1568,fdnI,[]
G_STM1647,ldhA,[]
G_STM4037,fdoG,[]
G_STM1569,fdnH,[]
G_STM3656,glyQ,[]
G_STM2109,gmd,[]
G_STM2167,dld,[]
G_STM2408,mntH,[]
G_STM4248,tyrB,[]
G_STM3200,rfaE,[]
G_STM0648,leuS,[]
G_STM0248,yaeD,[]
G_STM0592,fepD,[]
G_STM0591,fepG,[]
G_STM3564,livK,[]
G_STM0594,fepB,[]
G_STM0141,guaC,[]
G_STM0235,yaeR,[]
G_STM2510,guaA,[]
G_STM0590,fepC,[]
G_STM1435,gloA,[]
G_STM2199,cirA,[]
G_STM0229,lpxB,[]
G_STM0191,fhuA,[]
G_STM2081,gnd,[]
G_STM0506,tesA,[]
G_STM3542,gntK,[]
G_STM0585,fepA,[]
G_STM0593,ybdA,[]
G_STM3961,pldB,[]
G_STM2559,cadA,[]
G_STM2848,hycF,[]
G_STM0234,ldcC,[]
G_STM4485,idnK,[]
G_STM3040,lysS,[]
G_STM3553,ugpQ,[]
G_STM2200,lysP,[]
G_STM2282,glpQ,[]
G_STM2851,hycC,[]
G_STM4046,rhaA,[]
G_STM2852,hycB,[]
G_STM2849,hycE,[]
G_STM1165,grxB,[]
G_STM4050,rhaT,[]
G_STM0872,grxA,[]
G_STM4285,fdhF,[]
G_STM2850,hycD,[]
G_STM3694,lldD,[]
G_STM2847,hycG,[]
G_STM3702,grxC,[]
G_STM3686,mtlD,[]
G_STM1433,ydhD,[]
G_STM0694,fldA,[]
G_STM4183,aceB,[]
G_STM1467,manA,[]
G_STM0491,gsk,[]
G_STM0370,prpD,[]
G_STM3045,fldB,[]
G_STM0368,prpB,[]
G_STM4084,fpr,[]
G_STM3139,gsp,[]
G_STM0369,prpC,[]
G_STM3407,fmt,[]
G_STM3597,gor,[]
G_STM1194,fabD,[]
G_STM3551,ggt,[]
G_STM0045,ribF,[]
G_STM2533,sseA,[]
G_STM0190,mrcB,[]
G_STM0640,mrdA,[]
G_STM0974,focA,[]
G_STM0850,yliC,[]
G_STM0849,yliB,[]
G_STM0122,ftsI,[]
G_STM0848,yliA,[]
G_STM0851,yliD,[]
G_STM3493,mrcA,[]
G_STM0637,dacA,[]
G_STM3095,gshB,[]
G_STM0152,aceE,[]
G_STM2062,dacD,[]
G_STM1448,pdxH,[]
G_STM2193,folE,[]
G_STM3300,dacB,[]
G_STM1711,ribA,[]
G_STM0863,dacC,[]
G_STM3913,gppA,[]
G_STM2578,pdxJ,[]
G_STM2168,pbpG,[]
G_STM0091,pdxA,[]
G_STM0170,hpt,[]
G_STM0317,gpt,[]
G_STM0163,STM0163,[]
G_STM2383,mepA,[]
G_STM3359,mdh,[]
G_STM2370,pdxB,[]
G_STM4016,yshA,[]
G_STM4234,ubiA,[]
G_STM1566,sfcA,[]
G_STM0171,yadF,[]
G_STM0439,cyoE,[]
G_STM3635,yhjW,[]
G_STM2472,maeB,[]
G_STM3721,rfaP,[]
G_STM2523,gcpE,[]
G_STM3716,rfaY,[]
G_STM1326,pfkB,[]
G_STM2929,ispF,[]
G_STM4062,pfkA,[]
G_STM3712,rfaC,[]
G_STM4299,melB,[]
G_STM3711,rfaF,[]
G_STM2930,ispD,[]
G_STM3723,rfaQ,[]
G_STM3257,STM3257,[]
G_STM0844,pflE,[]
G_STM3090,metK,[]
G_STM4115,pflC,[]
G_STM3714,rfaK,[]
G_STM0246,yaeE,[]
G_STM4114,pflD,[]
G_STM0245,yaeC,[]
G_STM0843,pflF,[]
G_STM2147,thiM,[]
G_STM0247,abc,[]
G_STM2403,glk,[]
G_STM3965,metE,[]
G_STM3294,mrsA,[]
G_STM0393,yajF,[]
G_STM4408,msrA,[]
G_STM3062,serA,[]
G_STM1291,yeaA,[]
G_STM4221,pgi,[]
G_STM2072,hisD,[]
G_STM2155,metG,[]
G_STM3069,pgk,[]
G_STM0785,ybhE,[]
G_STM2074,hisB,[]
G_STM2522,hisS,[]
G_STM2354,hisJ,[]
G_STM1076,mgsA,[]
G_STM0150,aroP,[]
G_STM3938,hemC,[]
G_STM2435,pdxK,[]
G_STM3482,gph,[]
G_STM0772,gpmA,[]
G_STM2546,suhB,[]
G_STM4585,gpmB,[]
G_STM2146,thiD,[]
G_STM3960,rthB,[]
G_STM0401,malZ,[]
G_STM0832,ybiF,[]
G_STM3704,pmgI,[]
G_STM1799,emtA,[]
G_STM2988,mltA,[]
G_STM3112,mltC,[]
G_STM0698,pgm,[]
G_STM0183,folK,[]
G_STM2831,mltB,[]
G_STM0518,gip,[]
G_STM0003,thrB,[]
G_STM2820,yqaB,[]
G_STM4582,slt,[]
G_STM0420,pgpA,[]
G_STM4182,metA,[]
G_STM3685,mtlA,[]
G_STM2073,hisC,[]
G_STM3724,kdtA,[]
G_STM1238,icdA,[]
G_STM3715,rfaZ,[]
G_STM1945,pgsA,[]
G_STM4063,sbp,[]
G_STM2310,menF,[]
G_STM2443,cysU,[]
G_STM2252,ccmC,[]
G_STM0782,modB,[]
G_STM2253,ccmB,[]
G_STM0595,entC,[]
G_STM2442,cysW,[]
G_STM0597,entB,[]
G_STM2254,ccmA,[]
G_STM0783,modC,[]
G_STM1337,pheS,[]
G_STM4184,aceA,[]
G_STM2444,cysP,[]
G_STM4484,idnD,[]
G_STM1338,pheT,[]
G_STM0781,modA,[]
G_STM2077,hisF,[]
G_STM2441,cysA,[]
G_STM2075,hisH,[]
G_STM0182,panB,[]
G_STM1725,trpC,[]
G_STM0568,pheP,[]
G_STM2531,pbpC,[]
G_STM3903,ilvE,[]
G_STM0542,folD,[]
G_STM0046,ileS,[]
G_STM3589,pitA,[]
G_STM4105,metF,[]
G_STM1160,solA,[]
G_STM3855,pstA,[]
G_STM4166,yjaD,[]
G_STM3856,pstC,[]
G_STM0399,brnQ,[]
G_STM2427,lig,[]
G_STM2511,guaB,[]
G_STM3854,pstB,[]
G_STM3857,pstS,[]
G_STM3957,pldA,[]
G_STM1211,ndh,[]
G_STM3390,acrE,[]
G_STM2317,nuoM,[]
G_STM3391,acrF,[]
G_STM4139,coaA,[]
G_STM3382,panF,[]
G_STM2327,nuoB,[]
G_STM0935,poxB,[]
G_STM3279,mtr,[]
G_STM2321,nuoI,[]
G_STM3039,idi,[]
G_STM2328,nuoA,[]
G_STM4414,ppa,[]
G_STM2325,nuoE,[]
G_STM2502,ppx,[]
G_STM0112,leuB,[]
G_STM2322,nuoH,[]
G_STM0329,STM0329,[]
G_STM2057,pduW,[]
G_STM2319,nuoK,[]
G_STM2320,nuoJ,[]
G_STM1125,putP,[]
G_STM0110,leuD,[]
G_STM0111,leuC,[]
G_STM2326,nuoC,[]
G_STM2324,nuoF,[]
G_STM2318,nuoL,[]
G_STM0372,hemB,[]
G_STM2683,yfjB,[]
G_STM4119,ppc,[]
G_STM3730,dfp,[]
G_STM3500,pckA,[]
G_STM2501,ppk,[]
G_STM3179,mdaB,[]
G_STM4569,deoB,[]
G_STM2669,tyrA,[]
G_STM1310,nadE,[]
G_STM2667,pheA,[]
G_STM3076,tktA,[]
G_STM1480,pntB,[]
G_STM3823,torC,[]
G_STM3987,hemG,[]
G_STM4126,udhA,[]
G_STM2554,hcaT,[]
G_STM1479,pntA,[]
G_STM1349,pps,[]
G_STM3822,torA,[]
G_STM1004,pncB,[]
G_STM1806,nhaB,[]
G_STM4175,purD,[]
G_STM0039,nhaA,[]
G_STM2078,hisI,[]
G_STM2487,purC,[]
G_STM3001,thyA,[]
G_STM1208,ycfN,[]
G_STM2526,ndk,[]
G_STM0463,amtB,[]
G_STM0419,thiL,[]
G_STM2565,purG,[]
G_STM2840,STM2840,[]
G_STM2076,hisA,[]
G_STM4163,thiE,[]
G_STM4081,tpiA,[]
G_STM2841,ygbD,[]
G_STM0619,citG,[]
G_STM0242,proS,[]
G_STM0645,nadD,[]
G_STM1780,prsA,[]
